cod_distrito,cod_concelho,cod_localidade,nome_localidade,cod_arteria,tipo_arteria,prep1,titulo_arteria,prep2,nome_arteria,local_arteria,troco,porta,cliente,num_cod_postal,ext_cod_postal,desig_postal
01,01,287,Vale do Lobo,,,,,,,,,,,3750,065,AGUADA DE CIMA
01,01,288,Vale Grande,,,,,,,,,,,3750,066,AGUADA DE CIMA
01,01,289,Águeda,100101,Largo,,Doutor,,Homem de Mello,,,,,3750,107,ÁGUEDA
01,01,289,Águeda,10530101,Rua,,,,António Feliciano Castilho,Ninho D'Águia,,,,3750,313,ÁGUEDA
01,01,289,Águeda,10570101,Praceta,,São,,Pedro,São Pedro,,,,3750,317,ÁGUEDA
01,01,289,Águeda,108441100,Rua,,,,11,,,,,3750,130,ÁGUEDA
01,01,289,Águeda,109149100,Largo,da,,,Estação,,,,,3750,116,ÁGUEDA
01,01,289,Águeda,109343100,Calçada,da,,,Quinta dos Oliveiras,,,,,3750,328,ÁGUEDA
01,01,289,Águeda,109820100,Largo,da,,,Venda Nova,,,,,3750,332,ÁGUEDA
01,01,289,Águeda,110101,Rua,,,,António da Silva Brinco,,,,,3750,122,ÁGUEDA
01,01,289,Águeda,130101,Rua,,,,António Ferreira Sucena,,,,,3750,121,ÁGUEDA
01,01,289,Águeda,13129100,Avenida,do,,,Emigrante,Alagoa,Impares de 2581 a 2755,,,3750,301,ÁGUEDA
01,01,289,Águeda,13129100,Avenida,do,,,Emigrante,Alagoa,Pares de 1896 a 2732,,,3750,171,ÁGUEDA
01,01,289,Águeda,13129100,Avenida,do,,,Emigrante,Ameal,,,,3750,303,ÁGUEDA
01,01,289,Águeda,13129100,Avenida,do,,,Emigrante,Ninho D'Águia,,,,3750,313,ÁGUEDA
01,01,289,Águeda,140101,Rua,,,,Armindo Santos,,,,,3750,125,ÁGUEDA
01,01,289,Águeda,1477340000,Rua,,Doutor,,António Gomes da Costa,,,,,3750,329,ÁGUEDA
01,01,289,Águeda,150101,Avenida,,Arcebispo,,Primaz,,,,,3750,123,ÁGUEDA
01,01,289,Águeda,1507960000,Rua,,,,9,,,,,3750,163,ÁGUEDA
01,01,289,Águeda,1507970000,Rua,,Doutor,,António Arede Fernandes,,,,,3750,330,ÁGUEDA
01,01,289,Águeda,1507980000,Rua,,,,Armando Santos,Barreiras,,,,3750,117,ÁGUEDA
01,01,289,Águeda,1565570000,Rua,de,São,,Pedro,São Pedro,,,,3750,317,ÁGUEDA
01,01,289,Águeda,160101,Rua,dos,,,Bombeiros Voluntários,,,,,3750,138,ÁGUEDA
01,01,289,Águeda,16408100,Rua,do,,,Vouguinha,Alagoa,,,,3750,301,ÁGUEDA
01,01,289,Águeda,16411100,Rua,da,,,Somira,Alagoa,,,,3750,301,ÁGUEDA
01,01,289,Águeda,16414100,Rua,,,,Luciana Aguiar Guerra,Alagoa,,,,3750,301,ÁGUEDA
01,01,289,Águeda,16415100,Rua,,Mestre,,João Breda,Alagoa,,,,3750,301,ÁGUEDA
01,01,289,Águeda,17875100,Praceta,,Professor,,Américo Urbano,,,,,3750,137,ÁGUEDA
01,01,289,Águeda,17916100,Praça,,Conselheiro,,Albano de Mello,,,,,3750,110,ÁGUEDA
01,01,289,Águeda,17930100,Rua,da,,,Corga,Corga,,,,3750,715,RECARDÃES
01,01,289,Águeda,180101,Rua,,Capitão,,José Maria Coutinho,,,,,3750,135,ÁGUEDA
01,01,289,Águeda,18890100,Rua,,,,7,Alagoa,,,,3750,301,ÁGUEDA
01,01,289,Águeda,190101,Avenida,,,,Calouste Gulbenkian,,,,,3750,102,ÁGUEDA
01,01,289,Águeda,200101,Praceta,,Capitão,,Castelo Silva,São Pedro,,,,3750,112,ÁGUEDA
01,01,289,Águeda,2058610000,Travessa,,Engenheiro,,José Bastos Xavier,,,,,3750,144,ÁGUEDA
01,01,289,Águeda,2058620000,Rua,de,,,Macau,Alagoa,,,,3750,301,ÁGUEDA
01,01,289,Águeda,20932100,Praceta,,Capitão,,Brites Vasques,Alagoa,,,,3750,301,ÁGUEDA
01,01,289,Águeda,20938100,Rua,,,,Eva Vidal Coelho Rodrigues,Alagoa,,,,3750,301,ÁGUEDA
01,01,289,Águeda,210101,Rua,,,,Celestino Neto,,,,,3750,126,ÁGUEDA
